Transaction ID,Customer ID,Category,Item,Price Per Unit,Quantity,Total Spent,Payment Method,Location,Transaction Date,Discount Applied,item_missing_flag,price_missing_flag,quantity_missing_flag,total_missing_flag,discount_missing_flag
TXN_5973228,CUST_12,Beverages,Item_7_BEV,14,6,84,Digital Wallet,Online,25-12-2023,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_2780662,CUST_02,Milk Products,Item_19_MILK,32,10,320,Digital Wallet,In-store,19-01-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_1142481,CUST_02,Beverages,Item_22_BEV,36.5,6,219,Cash,In-store,07-02-2023,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_3933685,CUST_09,Computers and electric accessories,Item_20_CEA,33.5,10,335,Credit Card,Online,15-04-2022,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_8955685,CUST_24,Food,Item_20_FOOD,33.5,2,67,Digital Wallet,Online,24-04-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_1061030,CUST_20,Computers and electric accessories,Item_22_CEA,36.5,4,146,Digital Wallet,Online,14-07-2024,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_7821493,CUST_07,Patisserie,Item_17_PAT,29,10,290,Credit Card,In-store,17-12-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_8114453,CUST_10,Electric household essentials,Item_21_EHE,35,2,70,Digital Wallet,In-store,09-05-2023,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_8024803,CUST_09,Furniture,Item_11_FUR,20,8,160,Digital Wallet,In-store,22-08-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_5062634,CUST_04,Patisserie,Item_25_PAT,41,2,82,Credit Card,Online,06-07-2023,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_8244728,CUST_08,Food,Item_7_FOOD,14,1,14,Credit Card,In-store,27-04-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_3858145,CUST_17,Furniture,Item_21_FUR,35,3,105,Digital Wallet,Online,01-04-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_2646301,CUST_18,Furniture,Item_24_FUR,39.5,9,355.5,Credit Card,In-store,07-12-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_2414530,CUST_24,Milk Products,Item_8_MILK,15.5,8,124,Cash,Online,20-06-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_8322008,CUST_22,Food,Item_4_FOOD,9.5,3,28.5,Cash,In-store,20-08-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_3035546,CUST_19,Beverages,Item_14_BEV,24.5,2,49,Credit Card,In-store,12-07-2023,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_7296720,CUST_18,Patisserie,Item_4_PAT,9.5,5,47.5,Cash,Online,12-09-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_8414071,CUST_20,Patisserie,Item_12_PAT,21.5,9,193.5,Cash,In-store,02-05-2023,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_5705131,CUST_19,Milk Products,Item_4_MILK,9.5,4,38,Digital Wallet,Online,27-03-2024,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_5938028,CUST_18,Computers and electric accessories,Item_7_CEA,14,1,14,Digital Wallet,Online,20-02-2023,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_1958345,CUST_08,Electric household essentials,Item_4_EHE,9.5,8,76,Cash,In-store,28-06-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_1528585,CUST_15,Electric household essentials,Item_6_EHE,12.5,1,12.5,Credit Card,In-store,17-09-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_9619859,CUST_01,Butchers,Item_21_BUT,35,4,140,Cash,In-store,05-04-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_6158929,CUST_21,Food,Item_11_FOOD,20,6,120,Cash,Online,29-01-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_7209607,CUST_25,Food,Item_18_FOOD,30.5,6,183,Credit Card,In-store,25-08-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_5328604,CUST_07,Food,Item_20_FOOD,33.5,10,335,Cash,Online,08-07-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_4324641,CUST_01,Patisserie,Item_16_PAT,27.5,6,165,Cash,In-store,07-11-2023,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_9464391,CUST_04,Food,Item_18_FOOD,30.5,10,305,Cash,Online,17-11-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_2940500,CUST_06,Computers and electric accessories,Item_25_CEA,41,1,41,Cash,In-store,05-11-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_1945960,CUST_09,Butchers,Item_8_BUT,15.5,10,155,Digital Wallet,In-store,06-04-2023,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_8219228,CUST_17,Computers and electric accessories,Item_10_CEA,18.5,5,92.5,Cash,Online,27-05-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_5471094,CUST_14,Butchers,Item_2_BUT,6.5,3,19.5,Digital Wallet,In-store,24-08-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_9255329,CUST_01,Furniture,Item_25_FUR,41,7,287,Digital Wallet,In-store,02-03-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_9279462,CUST_25,Furniture,Item_5_FUR,11,3,33,Credit Card,In-store,05-02-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_7956502,CUST_06,Butchers,Item_8_BUT,15.5,7,108.5,Credit Card,In-store,30-04-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_1352831,CUST_04,Food,Item_22_FOOD,36.5,3,109.5,Credit Card,Online,31-10-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_4372655,CUST_08,Food,Item_9_FOOD,17,7,119,Cash,In-store,03-11-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_7655704,CUST_11,Computers and electric accessories,Item_21_CEA,35,8,280,Digital Wallet,Online,08-08-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_6908058,CUST_25,Computers and electric accessories,Item_8_CEA,15.5,10,155,Cash,In-store,22-07-2023,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_9204828,CUST_07,Computers and electric accessories,Item_25_CEA,41,7,287,Cash,Online,05-03-2022,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_3208232,CUST_25,Electric household essentials,Item_8_EHE,15.5,4,62,Digital Wallet,In-store,13-01-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_2212643,CUST_09,Food,Item_3_FOOD,8,4,32,Credit Card,In-store,29-12-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_8215469,CUST_17,Milk Products,Item_23_MILK,38,10,380,Digital Wallet,In-store,16-03-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_3403695,CUST_25,Beverages,Item_23_BEV,38,8,304,Cash,Online,27-09-2024,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_2878134,CUST_18,Butchers,Item_8_BUT,15.5,9,139.5,Credit Card,In-store,10-05-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_3123571,CUST_15,Furniture,Item_23_FUR,38,3,114,Digital Wallet,Online,07-08-2022,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_9940030,CUST_25,Beverages,Item_19_BEV,32,6,192,Credit Card,In-store,19-01-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_6195024,CUST_13,Beverages,Item_20_BEV,33.5,5,167.5,Cash,Online,09-08-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_5243520,CUST_13,Patisserie,Item_10_PAT,18.5,5,92.5,Cash,In-store,16-05-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_4608122,CUST_21,Butchers,Item_16_BUT,27.5,10,275,Digital Wallet,Online,01-10-2022,No,TRUE,TRUE,FALSE,FALSE,FALSE
TXN_6923419,CUST_17,Furniture,Item_5_FUR,11,8,88,Digital Wallet,Online,28-06-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_1112365,CUST_19,Food,Item_24_FOOD,39.5,10,395,Cash,Online,24-09-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_6989569,CUST_11,Milk Products,Item_21_MILK,35,2,70,Credit Card,In-store,17-01-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_5647023,CUST_12,Furniture,Item_24_FUR,39.5,4,158,Digital Wallet,In-store,14-04-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_8049831,CUST_18,Beverages,Item_6_BEV,12.5,2,25,Cash,In-store,05-01-2023,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_2953434,CUST_25,Furniture,Item_25_FUR,41,10,410,Credit Card,In-store,10-08-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_3831408,CUST_18,Milk Products,Item_1_MILK,5,10,50,Digital Wallet,Online,11-02-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_1249742,CUST_05,Milk Products,Item_24_MILK,39.5,10,395,Digital Wallet,Online,21-03-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_4633046,CUST_13,Computers and electric accessories,Item_2_CEA,6.5,5,32.5,Digital Wallet,Online,25-08-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_3519817,CUST_22,Butchers,Item_18_BUT,30.5,4,122,Digital Wallet,Online,14-06-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_4801202,CUST_16,Furniture,Item_1_FUR,5,3,15,Digital Wallet,Online,31-05-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_6149882,CUST_09,Beverages,Item_20_BEV,33.5,1,33.5,Credit Card,Online,22-01-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_8809000,CUST_23,Milk Products,Item_3_MILK,8,3,24,Cash,In-store,10-01-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_5008001,CUST_03,Electric household essentials,Item_10_EHE,18.5,6,111,Credit Card,Online,04-11-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_5111184,CUST_19,Milk Products,Item_11_MILK,20,6,120,Credit Card,Online,18-07-2024,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_1499774,CUST_07,Butchers,Item_3_BUT,8,5,40,Credit Card,In-store,15-12-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_2565828,CUST_21,Food,Item_24_FOOD,39.5,10,395,Credit Card,Online,18-02-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_6312937,CUST_14,Computers and electric accessories,Item_13_CEA,23,2,46,Digital Wallet,In-store,09-02-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_8775503,CUST_08,Computers and electric accessories,Item_6_CEA,12.5,2,25,Digital Wallet,In-store,11-10-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_3541663,CUST_25,Furniture,Item_2_FUR,6.5,5,32.5,Digital Wallet,In-store,19-07-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_4947386,CUST_13,Food,Item_18_FOOD,30.5,10,305,Cash,Online,12-11-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_4276451,CUST_17,Beverages,Item_22_BEV,36.5,1,36.5,Credit Card,Online,27-05-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_3380295,CUST_08,Beverages,Item_6_BEV,12.5,5,62.5,Cash,Online,08-02-2023,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_1390866,CUST_09,Patisserie,Item_6_PAT,12.5,2,25,Digital Wallet,In-store,30-03-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_8616546,CUST_09,Beverages,Item_21_BEV,35,8,280,Credit Card,Online,01-04-2023,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_1804192,CUST_20,Furniture,Item_8_FUR,15.5,9,139.5,Cash,Online,07-06-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_5046818,CUST_02,Butchers,Item_22_BUT,36.5,6,219,Digital Wallet,In-store,03-07-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_4626993,CUST_24,Butchers,Item_13_BUT,23,7,161,Credit Card,Online,23-08-2023,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_5256349,CUST_25,Beverages,Item_2_BEV,6.5,4,26,Digital Wallet,Online,27-09-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_3822751,CUST_21,Butchers,Item_7_BUT,14,9,126,Digital Wallet,In-store,04-03-2024,No,TRUE,TRUE,FALSE,FALSE,FALSE
TXN_1882210,CUST_13,Food,Item_14_FOOD,24.5,4,98,Digital Wallet,In-store,02-03-2022,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_9209383,CUST_12,Electric household essentials,Item_7_EHE,14,9,126,Credit Card,In-store,16-09-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_2196324,CUST_11,Butchers,Item_21_BUT,35,9,315,Cash,In-store,08-02-2024,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_7020797,CUST_22,Food,Item_9_FOOD,17,5,85,Digital Wallet,In-store,20-04-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_7594834,CUST_22,Furniture,Item_25_FUR,41,1,41,Credit Card,In-store,16-03-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_3229559,CUST_02,Beverages,Item_7_BEV,14,9,126,Digital Wallet,Online,02-12-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_1336269,CUST_19,Beverages,Item_7_BEV,14,6,84,Digital Wallet,Online,25-12-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_2479337,CUST_10,Patisserie,Item_25_PAT,41,7,287,Credit Card,In-store,05-08-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_8784273,CUST_25,Computers and electric accessories,Item_14_CEA,24.5,4,98,Cash,In-store,02-05-2022,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_7771182,CUST_10,Electric household essentials,Item_19_EHE,32,6,192,Credit Card,In-store,20-01-2022,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_1132339,CUST_01,Beverages,Item_11_BEV,20,4,80,Credit Card,Online,12-07-2023,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_8283332,CUST_16,Beverages,Item_23_BEV,38,6,228,Cash,Online,13-11-2023,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_9496190,CUST_18,Computers and electric accessories,Item_18_CEA,30.5,3,91.5,Cash,Online,24-02-2024,Not Applicable,FALSE,FALSE,FALSE,FALSE,TRUE
TXN_5205620,CUST_17,Patisserie,Item_11_PAT,20,7,140,Cash,In-store,26-06-2023,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_4448047,CUST_03,Milk Products,Item_8_MILK,15.5,6,93,Credit Card,Online,15-06-2022,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_2163190,CUST_20,Patisserie,Item_16_PAT,27.5,2,55,Digital Wallet,Online,30-05-2022,Yes,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_3338914,CUST_16,Food,Item_20_FOOD,33.5,10,335,Digital Wallet,Online,29-05-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
TXN_8959624,CUST_09,Milk Products,Item_1_MILK,5,7,35,Digital Wallet,Online,18-12-2024,No,FALSE,FALSE,FALSE,FALSE,FALSE
